"Vendor","Model Name","Capacity (TB)","Interface","Price ($/TB)","AFR (%)","Power Active (W)","Power Idle (W)","IOPS QD1","IOPS Max Random Read","Bandwidth Sequential Read (MB/s)","Bandwidth Sequential Write (MB/s)","Endurance (TBW)"
"Western Digital","Ultrastar DC HC570","22","SATA","15","0.35","7.1","5.6","N/A","N/A","262","262","N/A"
"Western Digital","Ultrastar DC HC560","20","SATA","16","0.35","6.9","5.2","N/A","N/A","240","240","N/A"
"Western Digital","Ultrastar DC HC690","32","SATA","14","0.35","7.2","5.8","N/A","N/A","257","257","N/A"
"Western Digital","Ultrastar DC HC550","14","SATA","17","0.38","6.8","5.4","N/A","N/A","245","245","N/A"
"Western Digital","Ultrastar DC HC320","8","SATA","20","0.44","8.1","6.2","N/A","N/A","227","227","N/A"
"Seagate","Exos X24","24","SATA","16","0.35","7.8","5.5","N/A","N/A","285","285","N/A"
"Seagate","Exos X20","20","SATA","18","0.35","7.3","5.4","N/A","N/A","270","270","N/A"
"Seagate","Exos X16","16","SATA","17","0.38","7.0","5.3","N/A","N/A","260","260","N/A"
"Seagate","Exos X12","12","SATA","19","0.40","6.9","5.2","N/A","N/A","250","250","N/A"
"Seagate","Exos X8","8","SATA","22","0.44","8.2","6.0","N/A","N/A","235","235","N/A"
"Intel/Solidigm","D7-P5520","15.36","NVMe","90","0.40","20","5","5000","930000","7100","3400","28000"
"Intel/Solidigm","D7-P5620","12.8","NVMe","95","0.38","20","5","5200","1000000","7200","3600","65400"
"Intel/Solidigm","D5-P5336","61.44","NVMe","90","0.40","20","5","4800","850000","6900","3200","65200"
"Intel/Solidigm","D5-P5336","122.88","NVMe","90","0.40","20","5","4800","850000","6900","3200","130400"
"Samsung","PM9A3","7.68","NVMe","85","0.38","15","4","4500","900000","6800","3000","14000"
"Samsung","PM1743","15.36","NVMe","90","0.40","25","5","5500","1550000","7450","6900","24000"
"Samsung","PM1653","30.72","SAS","100","0.35","8.5","3.5","5000","595000","2100","1800","23000"
"Kioxia","CD8-R","7.68","NVMe","90","0.40","25","2.6","4700","920000","7000","3200","14000"
"Kioxia","CD8-V","15.36","NVMe","95","0.38","25","2.9","5000","870000","6800","3000","28000"
"Kioxia","CD6-R","3.84","NVMe","100","0.42","25","2.4","5100","1400000","7200","3500","7000"
"Western Digital","Ultrastar DC SN650","15.36","NVMe","80","0.40","5.7","2.2","5300","1200000","7400","6600","2400"
"Western Digital","Ultrastar DC SN640","7.68","NVMe","85","0.38","5.5","2.5","4500","550000","5100","4850","2400"
"Micron","9550","30.72","NVMe","100","0.38","20","5","4800","870000","14000","12000","28000"
"Micron","7500","15.36","NVMe","90","0.40","18","5","5000","930000","7100","3400","14000"
"Micron","7450","7.68","NVMe","95","0.38","15","2.4","5200","1000000","7200","3600","6000"
